sample_Id	sample_name	sample	sample_desc	culture	cells	indi	treatment	replicate
NM6351_F4-BX0175-030	astro_asyn_exan_1_B	BX0175-030	pure:astrocyte:ctrl_1_JOM_inhouse:1uM_syn_oligomer_and_exenatid:2	pure	astrocyte	ctrl_1_JOM_inhouse	1uM_syn_oligomer_and_exenatid	2
NM6352_G4-BX0175-031	cocult_nt_1_B	BX0175-031	co_culture:astrocyte_neuron:ctrl_1_JOM_inhouse:no_treatment:2	co_culture	astrocyte_neuron	ctrl_1_JOM_inhouse	no_treatment	2
NM6353_H4-BX0175-032	cocult_asyn_1_B	BX0175-032	co_culture:astrocyte_neuron:ctrl_1_JOM_inhouse:1uM_syn_oligomer:2	co_culture	astrocyte_neuron	ctrl_1_JOM_inhouse	1uM_syn_oligomer	2
NM6354_A5-BX0175-033	cocult_asyn_exan_1_B	BX0175-033	co_culture:astrocyte_neuron:ctrl_1_JOM_inhouse:1uM_syn_oligomer_and_exenatid:2	co_culture	astrocyte_neuron	ctrl_1_JOM_inhouse	1uM_syn_oligomer_and_exenatid	2
NM6355_B5-BX0175-034	astro_nt_2_B	BX0175-034	pure:astrocyte:ctrl_2_ND_inhouse:no_treatment:2	pure	astrocyte	ctrl_2_ND_inhouse	no_treatment	2
NM6356_C5-BX0175-035	astro_asyn_2_B	BX0175-035	pure:astrocyte:ctrl_2_ND_inhouse:1uM_syn_oligomer:2	pure	astrocyte	ctrl_2_ND_inhouse	1uM_syn_oligomer	2
NM6357_D5-BX0175-036	astro_asyn_exan_2_B	BX0175-036	pure:astrocyte:ctrl_2_ND_inhouse:1uM_syn_oligomer_and_exenatid:2	pure	astrocyte	ctrl_2_ND_inhouse	1uM_syn_oligomer_and_exenatid	2
NM6286_E5-BX0175-037	cocult_nt_2_B	BX0175-037	co_culture:astrocyte_neuron:ctrl_2_ND_inhouse:no_treatment:2	co_culture	astrocyte_neuron	ctrl_2_ND_inhouse	no_treatment	2
NM6287_F5-BX0175-038	cocult_asyn_2_B	BX0175-038	co_culture:astrocyte_neuron:ctrl_2_ND_inhouse:1uM_syn_oligomer:2	co_culture	astrocyte_neuron	ctrl_2_ND_inhouse	1uM_syn_oligomer	2
NM6288_G5-BX0175-039	cocult_asyn_exan_2_B	BX0175-039	co_culture:astrocyte_neuron:ctrl_2_ND_inhouse:1uM_syn_oligomer_and_exenatid:2	co_culture	astrocyte_neuron	ctrl_2_ND_inhouse	1uM_syn_oligomer_and_exenatid	2
NM6289_H5-BX0175-040	astro_nt_3_B	BX0175-040	pure:astrocyte:ctrl_3_C3_inhouse:no_treatment:2	pure	astrocyte	ctrl_3_C3_inhouse	no_treatment	2
NM6290_A6-BX0175-041	astro_asyn_3_B	BX0175-041	pure:astrocyte:ctrl_3_C3_inhouse:1uM_syn_oligomer:2	pure	astrocyte	ctrl_3_C3_inhouse	1uM_syn_oligomer	2
NM6291_B6-BX0175-042	cocult_nt_3_B	BX0175-042	co_culture:astrocyte_neuron:ctrl_3_C3_inhouse:no_treatment:2	co_culture	astrocyte_neuron	ctrl_3_C3_inhouse	no_treatment	2
NM6292_C6-BX0175-043	cocult_asyn_3_B	BX0175-043	co_culture:astrocyte_neuron:ctrl_3_C3_inhouse:1uM_syn_oligomer:2	co_culture	astrocyte_neuron	ctrl_3_C3_inhouse	1uM_syn_oligomer	2
NM6293_D6-BX0175-044	astro_nt_4_B	BX0175-044	pure:astrocyte:ctrl_4_commercial:no_treatment:2	pure	astrocyte	ctrl_4_commercial	no_treatment	2
NM6294_E6-BX0175-045	astro_asyn_4_B	BX0175-045	pure:astrocyte:ctrl_4_commercial:1uM_syn_oligomer:2	pure	astrocyte	ctrl_4_commercial	1uM_syn_oligomer	2
NM6295_F6-BX0175-046	cocult_nt_4_B	BX0175-046	co_culture:astrocyte_neuron:ctrl_4_commercial:no_treatment:2	co_culture	astrocyte_neuron	ctrl_4_commercial	no_treatment	2
NM6296_G6-BX0175-047	cocult_asyn_4_B	BX0175-047	co_culture:astrocyte_neuron:ctrl_4_commercial:1uM_syn_oligomer:2	co_culture	astrocyte_neuron	ctrl_4_commercial	1uM_syn_oligomer	2
NM6297_H6-BX0175-048	astro_nt_5_B	BX0175-048	pure:astrocyte:ctrl_5_commercial:no_treatment:2	pure	astrocyte	ctrl_5_commercial	no_treatment	2
NM6298_A7-BX0175-049	astro_asyn_5_B	BX0175-049	pure:astrocyte:ctrl_5_commercial:1uM_syn_oligomer:2	pure	astrocyte	ctrl_5_commercial	1uM_syn_oligomer	2
NM6299_B7-BX0175-050	cocult_nt_5_B	BX0175-050	co_culture:astrocyte_neuron:ctrl_5_commercial:no_treatment:2	co_culture	astrocyte_neuron	ctrl_5_commercial	no_treatment	2
NM6300_C7-BX0175-051	cocult_asyn_5_B	BX0175-051	co_culture:astrocyte_neuron:ctrl_5_commercial:1uM_syn_oligomer:2	co_culture	astrocyte_neuron	ctrl_5_commercial	1uM_syn_oligomer	2
NM6301_D7-BX0175-052	neuron_nt_B	BX0175-052	pure:neuron:no_treatment:2	pure	neuron	ctrl_NTN	no_treatment	2
NM6302_E7-BX0175-053	neuron_asyn_B	BX0175-053	pure:neuron:1uM_syn_oligomer:2	pure	neuron	ctrl_NTN	1uM_syn_oligomer	2
NM6303_F7-BX0175-054	neuron_asyn_exan_B	BX0175-054	pure:neuron:1uM_syn_oligomer_and_exenatid:2	pure	neuron	ctrl_NTN	1uM_syn_oligomer_and_exenatid	2
